duckdb::TemplatedValidityData.EntryCount(idx_t)	0	ScopeEnter	s0	-	c0	-	1306	-	-	walk
duckdb::TemplatedValidityData.EntryCount(idx_t)	1	Param	s1	-	c0	-	1337	-	s2	clang
duckdb::TemplatedValidityData.EntryCount(idx_t)	2	Return	-	-	c0	-	1354	-	-	walk
duckdb::TemplatedValidityData.EntryCount(idx_t)	3	Read	s1	-	c0	-	1362	-	-	clang
duckdb::TemplatedValidityData.EntryCount(idx_t)	4	Read	s12	-	c0	-	1371	-	-	clang
duckdb::TemplatedValidityData.EntryCount(idx_t)	5	Read	s12	-	c0	-	1394	-	-	clang
duckdb::TemplatedValidityData.EntryCount(idx_t)	6	ScopeExit	s0	-	c0	-	1306	-	-	walk
duckdb::TemplatedValidityData.TemplatedValidityData<V>(const V *,idx_t)	0	ScopeEnter	s0	-	c0	-	927	-	-	walk
duckdb::TemplatedValidityData.TemplatedValidityData<V>(const V *,idx_t)	1	Param	s10	-	c0	-	956	-	s11	clang
duckdb::TemplatedValidityData.TemplatedValidityData<V>(const V *,idx_t)	2	Param	s1	-	c0	-	980	-	s2	clang
duckdb::TemplatedValidityData.TemplatedValidityData<V>(const V *,idx_t)	3	Cast	-	-	c0	-	997	-	static	walk
duckdb::TemplatedValidityData.TemplatedValidityData<V>(const V *,idx_t)	4	Read	s10	-	c0	-	1006	-	-	clang
duckdb::TemplatedValidityData.TemplatedValidityData<V>(const V *,idx_t)	5	Cast	-	-	c0	-	997	-	functional	walk
duckdb::TemplatedValidityData.TemplatedValidityData<V>(const V *,idx_t)	6	Call	-	s6	c0	-	997	-	-	walk
duckdb::TemplatedValidityData.TemplatedValidityData<V>(const V *,idx_t)	7	Decl	s3	-	c0	-	1024	-	s2	clang
duckdb::TemplatedValidityData.TemplatedValidityData<V>(const V *,idx_t)	8	Call	-	s4	c0	-	1043	-	static	clang
duckdb::TemplatedValidityData.TemplatedValidityData<V>(const V *,idx_t)	9	Read	s1	-	c0	-	1054	-	-	clang
duckdb::TemplatedValidityData.TemplatedValidityData<V>(const V *,idx_t)	10	Write	s5	-	c0	-	1064	-	-	walk
duckdb::TemplatedValidityData.TemplatedValidityData<V>(const V *,idx_t)	11	Call	-	s6	c0	-	1077	-	-	walk
duckdb::TemplatedValidityData.TemplatedValidityData<V>(const V *,idx_t)	12	Read	s3	-	c0	-	1117	-	-	clang
