duckdb::Equals.Operation(const interval_t &,const interval_t &)	0	ScopeEnter	s0	-	c0	-	7900	-	-	walk
duckdb::Equals.Operation(const interval_t &,const interval_t &)	1	Param	s1	-	c0	-	7942	-	s7	clang
duckdb::Equals.Operation(const interval_t &,const interval_t &)	2	Param	s3	-	c0	-	7966	-	s7	clang
duckdb::Equals.Operation(const interval_t &,const interval_t &)	3	Return	-	-	c0	-	7994	-	-	walk
duckdb::Equals.Operation(const interval_t &,const interval_t &)	4	Call	-	s8	c0	-	8001	-	static	clang
duckdb::Equals.Operation(const interval_t &,const interval_t &)	5	Read	s1	-	c0	-	8018	-	-	clang
duckdb::Equals.Operation(const interval_t &,const interval_t &)	6	Read	s3	-	c0	-	8024	-	-	clang
duckdb::Equals.Operation(const interval_t &,const interval_t &)	7	ScopeExit	s0	-	c0	-	7900	-	-	walk
duckdb::Equals.Operation(const string_t &,const string_t &)	0	ScopeEnter	s0	-	c0	-	7463	-	-	walk
duckdb::Equals.Operation(const string_t &,const string_t &)	1	Param	s1	-	c0	-	7505	-	s4	clang
duckdb::Equals.Operation(const string_t &,const string_t &)	2	Param	s3	-	c0	-	7527	-	s4	clang
duckdb::Equals.Operation(const string_t &,const string_t &)	3	Return	-	-	c0	-	7553	-	-	walk
duckdb::Equals.Operation(const string_t &,const string_t &)	4	Call	-	s5	c0	-	7560	-	member	clang
duckdb::Equals.Operation(const string_t &,const string_t &)	5	Read	s1	-	c0	-	7560	-	-	clang
duckdb::Equals.Operation(const string_t &,const string_t &)	6	Read	s3	-	c0	-	7568	-	-	clang
duckdb::Equals.Operation(const string_t &,const string_t &)	7	ScopeExit	s0	-	c0	-	7463	-	-	walk
duckdb::GreaterThan.Operation(const bool &,const bool &)	0	ScopeEnter	s0	-	c0	-	7149	-	-	walk
duckdb::GreaterThan.Operation(const bool &,const bool &)	1	Param	s1	-	c0	-	7196	-	s2	clang
duckdb::GreaterThan.Operation(const bool &,const bool &)	2	Param	s3	-	c0	-	7214	-	s2	clang
duckdb::GreaterThan.Operation(const bool &,const bool &)	3	Return	-	-	c0	-	7236	-	-	walk
duckdb::GreaterThan.Operation(const bool &,const bool &)	4	Read	s3	-	c0	-	7244	-	-	clang
duckdb::GreaterThan.Operation(const bool &,const bool &)	5	Read	s1	-	c0	-	7253	-	-	clang
duckdb::GreaterThan.Operation(const bool &,const bool &)	6	ScopeExit	s0	-	c0	-	7149	-	-	walk
duckdb::GreaterThan.Operation(const interval_t &,const interval_t &)	0	ScopeEnter	s0	-	c0	-	8034	-	-	walk
duckdb::GreaterThan.Operation(const interval_t &,const interval_t &)	1	Param	s1	-	c0	-	8081	-	s7	clang
duckdb::GreaterThan.Operation(const interval_t &,const interval_t &)	2	Param	s3	-	c0	-	8105	-	s7	clang
duckdb::GreaterThan.Operation(const interval_t &,const interval_t &)	3	Return	-	-	c0	-	8133	-	-	walk
duckdb::GreaterThan.Operation(const interval_t &,const interval_t &)	4	Call	-	s9	c0	-	8140	-	static	clang
duckdb::GreaterThan.Operation(const interval_t &,const interval_t &)	5	Read	s1	-	c0	-	8162	-	-	clang
duckdb::GreaterThan.Operation(const interval_t &,const interval_t &)	6	Read	s3	-	c0	-	8168	-	-	clang
duckdb::GreaterThan.Operation(const interval_t &,const interval_t &)	7	ScopeExit	s0	-	c0	-	8034	-	-	walk
duckdb::GreaterThan.Operation(const string_t &,const string_t &)	0	ScopeEnter	s0	-	c0	-	7578	-	-	walk
duckdb::GreaterThan.Operation(const string_t &,const string_t &)	1	Param	s1	-	c0	-	7625	-	s4	clang
duckdb::GreaterThan.Operation(const string_t &,const string_t &)	2	Param	s3	-	c0	-	7647	-	s4	clang
duckdb::GreaterThan.Operation(const string_t &,const string_t &)	3	Return	-	-	c0	-	7673	-	-	walk
duckdb::GreaterThan.Operation(const string_t &,const string_t &)	4	Call	-	s6	c0	-	7680	-	member	clang
duckdb::GreaterThan.Operation(const string_t &,const string_t &)	5	Read	s1	-	c0	-	7680	-	-	clang
duckdb::GreaterThan.Operation(const string_t &,const string_t &)	6	Read	s3	-	c0	-	7687	-	-	clang
duckdb::GreaterThan.Operation(const string_t &,const string_t &)	7	ScopeExit	s0	-	c0	-	7578	-	-	walk
